case:concept:name,concept:name,time:timestamp
2011-11-01_Mattina,Camera_Letto,2011-11-01 07:02:28.838450
2011-11-01_Mattina,Bagno_Principale,2011-11-01 07:02:55.452214
2011-11-01_Mattina,Camera_Letto,2011-11-01 07:02:55.832756
2011-11-01_Mattina,Bagno_Principale,2011-11-01 07:02:56.469015
2011-11-01_Mattina,Camera_Letto,2011-11-01 07:03:08.242558
2011-11-01_Mattina,Bagno_Principale,2011-11-01 09:02:24.971134
2011-11-01_Mattina,Camera_Letto,2011-11-01 09:02:28.519406
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 12:34:51.524396
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:40:08.550477
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:40:09.165445
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:40:12.074717
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:40:12.100946
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:40:17.949700
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:40:23.405786
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:40:33.386936
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:40:37.479195
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:40:38.332496
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:40:42.456953
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:40:47.492652
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:40:52.084872
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:46:33.262315
2011-11-01_Pomeriggio,Camera_Letto,2011-11-01 13:46:37.682362
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:46:40.770650
2011-11-01_Pomeriggio,Soggiorno,2011-11-01 13:46:43.850715
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:46:43.876027
2011-11-01_Pomeriggio,Ufficio,2011-11-01 13:46:43.902989
2011-11-01_Pomeriggio,Bagno_Principale,2011-11-01 13:46:45.996623
2011-11-01_Pomeriggio,Soggiorno,2011-11-01 13:46:47.713239
