2011-11-01 07:02:28.838450	M003	ON	Motion-01	
2011-11-01 07:02:33.818359	M003	OFF	Motion-01	
2011-11-01 07:02:34.446437	M003	ON	Motion-01	
2011-11-01 07:02:35.381554	M002	ON	Motion-01	
2011-11-01 07:02:39.892705	M002	OFF	Motion-01	
2011-11-01 07:02:40.509421	M003	OFF	Motion-01	
2011-11-01 07:02:44.004649	M003	ON	Motion-01	
2011-11-01 07:02:46.597896	M003	OFF	Motion-01	
2011-11-01 07:02:46.990136	M003	ON	Motion-01	
2011-11-01 07:02:48.798729	M003	OFF	Motion-01	
2011-11-01 07:02:55.452214	M007	ON	MotionArea-01	
2011-11-01 07:02:55.832756	M003	ON	Motion-01	
2011-11-01 07:02:56.469015	M007	OFF	MotionArea-01	
2011-11-01 07:03:08.242558	M003	OFF	Motion-01	
2011-11-01 07:03:14.185600	M003	ON	Motion-01	
2011-11-01 07:03:19.295845	M003	OFF	Motion-01	
2011-11-01 07:03:24.510097	M003	ON	Motion-01	
2011-11-01 07:03:30.230182	M003	OFF	Motion-01	
2011-11-01 07:04:23.426722	M003	ON	Motion-01	
2011-11-01 07:04:29.372590	M003	OFF	Motion-01	
2011-11-01 07:08:45.056097	T002	20	Temperature	
2011-11-01 07:08:45.087435	T004	20	Temperature	
2011-11-01 07:10:26.162535	M003	ON	Motion-01	
2011-11-01 07:10:28.282060	M003	OFF	Motion-01	
2011-11-01 07:17:27.434654	M003	ON	Motion-01	
2011-11-01 07:17:34.817625	M003	OFF	Motion-01	
2011-11-01 07:18:52.818671	T001	19	Temperature	
2011-11-01 07:23:56.165160	T005	19.5	Temperature	
2011-11-01 07:34:02.855590	T003	19.5	Temperature	
2011-11-01 07:34:02.886710	T002	19.5	Temperature	
2011-11-01 07:44:09.725499	T001	18.5	Temperature	
2011-11-01 07:54:16.516295	T004	19.5	Temperature	
2011-11-01 08:09:26.617940	T005	19	Temperature	
2011-11-01 08:14:30.080418	T002	19	Temperature	
2011-11-01 08:19:33.551845	T003	19	Temperature	
2011-11-01 08:24:36.899920	T001	18	Temperature	
2011-11-01 08:29:40.248477	T001	18.5	Temperature	
2011-11-01 08:34:43.600104	T001	18	Temperature	
2011-11-01 08:49:53.876373	T004	19	Temperature	
2011-11-01 09:02:19.940602	M003	ON	Motion-01	
2011-11-01 09:02:20.795052	M002	ON	Motion-01	
2011-11-01 09:02:22.300521	M002	OFF	Motion-01	
2011-11-01 09:02:22.326933	M003	OFF	Motion-01	
2011-11-01 09:02:23.375361	M003	ON	Motion-01	
2011-11-01 09:02:24.971134	M007	ON	MotionArea-01	
2011-11-01 09:02:26.627187	M007	OFF	MotionArea-01	
2011-11-01 09:02:28.519406	M003	OFF	Motion-01	
2011-11-01 09:02:36.837491	M003	ON	Motion-01	
2011-11-01 09:02:37.927506	M003	OFF	Motion-01	
2011-11-01 09:02:57.407111	M003	ON	Motion-01	
2011-11-01 09:02:58.819298	M002	ON	Motion-01	
2011-11-01 09:03:00.149660	M002	OFF	Motion-01	
2011-11-01 09:03:03.698579	M003	OFF	Motion-01	
2011-11-01 09:03:04.882578	M003	ON	Motion-01	
2011-11-01 09:03:10.567666	M003	OFF	Motion-01	
2011-11-01 09:05:04.039464	T005	18.5	Temperature	
2011-11-01 09:05:04.071074	T002	18.5	Temperature	
2011-11-01 09:10:07.478147	T003	18.5	Temperature	
2011-11-01 09:12:31.821718	M003	ON	Motion-01	
2011-11-01 09:12:35.121484	M003	OFF	Motion-01	
2011-11-01 09:20:37.480950	M003	ON	Motion-01	
2011-11-01 09:20:37.857502	M002	ON	Motion-01	
2011-11-01 09:20:39.205620	M002	OFF	Motion-01	
2011-11-01 09:20:43.948824	M003	OFF	Motion-01	
2011-11-01 09:25:17.662791	T001	17.5	Temperature	
2011-11-01 09:39:12.119478	M003	ON	Motion-01	
2011-11-01 09:39:14.243662	M003	OFF	Motion-01	
2011-11-01 09:42:09.142776	M003	ON	Motion-01	
2011-11-01 09:42:09.999253	M002	ON	Motion-01	
2011-11-01 09:42:11.499368	M002	OFF	Motion-01	
2011-11-01 09:42:16.243632	M003	OFF	Motion-01	
2011-11-01 09:42:16.624611	M003	ON	Motion-01	
2011-11-01 09:42:21.299864	M003	OFF	Motion-01	
2011-11-01 09:50:12.337702	M003	ON	Motion-01	
2011-11-01 09:50:15.900491	M003	OFF	Motion-01	
2011-11-01 09:50:34.580596	T004	18.5	Temperature	
2011-11-01 09:53:46.245668	M003	ON	Motion-01	
2011-11-01 09:53:49.300961	M003	OFF	Motion-01	
2011-11-01 09:53:55.723390	M003	ON	Motion-01	
2011-11-01 09:53:56.905363	M003	OFF	Motion-01	
2011-11-01 09:53:57.992466	M003	ON	Motion-01	
2011-11-01 09:54:02.429652	M003	OFF	Motion-01	
2011-11-01 09:54:02.810726	M003	ON	Motion-01	
2011-11-01 09:54:04.159723	M003	OFF	Motion-01	
2011-11-01 09:54:04.542145	M003	ON	Motion-01	
2011-11-01 09:54:06.125711	M002	ON	Motion-01	
2011-11-01 09:54:07.214737	M002	OFF	Motion-01	
2011-11-01 09:54:08.802451	M002	ON	Motion-01	
2011-11-01 09:54:10.691788	M002	OFF	Motion-01	
2011-11-01 09:54:11.791073	M003	OFF	Motion-01	
2011-11-01 09:54:27.757397	M003	ON	Motion-01	
2011-11-01 09:54:30.828401	M003	OFF	Motion-01	
2011-11-01 10:05:44.681943	T005	18	Temperature	
2011-11-01 10:05:44.717542	T003	18	Temperature	
2011-11-01 10:05:44.747922	T002	18	Temperature	
2011-11-01 10:12:12.177197	M003	ON	Motion-01	
2011-11-01 10:12:15.734387	M003	OFF	Motion-01	
2011-11-01 10:12:16.583542	M003	ON	Motion-01	
2011-11-01 10:12:19.596575	M003	OFF	Motion-01	
2011-11-01 10:13:52.568919	M003	ON	Motion-01	
2011-11-01 10:13:56.603576	M003	OFF	Motion-01	
2011-11-01 10:25:59.182228	T001	17	Temperature	
2011-11-01 10:50:50.654817	M003	ON	Motion-01	
2011-11-01 10:50:55.635755	M003	OFF	Motion-01	
2011-11-01 10:50:58.233862	M003	ON	Motion-01	
2011-11-01 10:51:00.353828	M003	OFF	Motion-01	
2011-11-01 10:51:00.833383	M003	ON	Motion-01	
2011-11-01 10:51:03.190135	M003	OFF	Motion-01	
2011-11-01 10:51:07.697015	M003	ON	Motion-01	
2011-11-01 10:51:17.595923	M003	OFF	Motion-01	
2011-11-01 10:56:19.483747	T004	18	Temperature	
2011-11-01 11:01:23.036751	T005	17.5	Temperature	
2011-11-01 11:01:23.072203	T003	17.5	Temperature	
2011-11-01 11:01:23.102477	T002	17.5	Temperature	
2011-11-01 11:21:36.568868	T005	19	Temperature	
2011-11-01 11:26:39.922661	T001	17.5	Temperature	
2011-11-01 11:26:39.953925	T005	24	Temperature	
